2020-06-10	0.008691	0.010143	0.017925	0.005201	0.628723	31762000.000000
2020-06-09	0.002790	0.001684	0.017321	-0.000312	0.201263	33624000.000000
2020-06-08	0.005569	-0.005951	0.009884	-0.007206	0.399559	33878000.000000
2020-06-05	0.018186	0.004576	0.026333	-0.001115	1.281357	42642000.000000
2020-06-04	-0.017336	0.001903	0.005069	-0.019554	-1.243004	26982000.000000
2020-06-03	-0.002122	0.003897	0.008287	-0.003813	-0.152443	27732000.000000
2020-06-02	0.005185	0.003716	0.009312	-0.005650	0.370651	23442000.000000
2020-06-01	0.000942	-0.001850	0.009268	-0.004244	0.067261	25162000.000000
2020-05-29	0.010774	0.005175	0.016710	0.002026	0.761238	37044000.000000
2020-05-28	-0.001436	-0.010706	0.020712	-0.011356	-0.101631	35170000.000000
2020-05-27	-0.000767	0.002658	0.006435	-0.015277	-0.054298	31684000.000000
2020-05-26	0.005753	0.024021	0.026258	0.008000	0.405029	44590000.000000
2020-05-22	0.004613	0.001592	0.010938	-0.004080	0.323326	28544000.000000
2020-05-21	-0.001710	0.004928	0.008824	-0.006894	-0.120064	30894000.000000
2020-05-20	0.025291	0.014403	0.031104	0.013133	1.731720	38262000.000000
2020-05-19	-0.007782	0.003842	0.008921	-0.004649	-0.537056	31586000.000000
2020-05-18	0.008827	-0.004766	0.018025	-0.010161	0.603813	47094000.000000
2020-05-15	0.011939	-0.002736	0.016732	-0.009585	0.807083	41544000.000000
2020-05-14	0.006326	-0.007398	0.010354	-0.015006	0.424965	36660000.000000
2020-05-13	-0.019525	0.004340	0.011033	-0.030800	-1.337669	40368000.000000
2020-05-12	-0.020241	0.006936	0.011305	-0.017168	-1.415359	33918000.000000
2020-05-11	0.013906	-0.001849	0.026237	-0.002784	0.959023	32718000.000000
2020-05-08	0.010999	0.012816	0.023679	0.005626	0.750282	33326000.000000
2020-05-07	0.017727	0.015471	0.026429	0.008929	1.188187	30652000.000000
2020-05-06	-0.002661	0.010306	0.018259	0.000731	-0.178841	31732000.000000
2020-05-05	0.019744	0.014701	0.040124	0.012828	1.301277	39666000.000000
2020-05-04	0.004236	-0.003376	0.009073	-0.012610	0.277992	30806000.000000
2020-05-01	-0.021816	-0.013225	0.007150	-0.023979	-1.463699	48872000.000000
2020-04-30	0.003368	-0.004466	0.009472	-0.011839	0.225182	55842000.000000
2020-04-29	0.088910	0.095154	0.107490	0.080278	5.459713	108358000.000000
2020-04-28	-0.030113	0.013370	0.014602	-0.028343	-1.906586	80700000.000000
2020-04-27	-0.004496	0.015732	0.017383	-0.005447	-0.285965	44186000.000000
2020-04-24	0.004272	-0.009142	0.008789	-0.017826	0.270519	37402000.000000
2020-04-23	0.010140	0.009471	0.027344	0.005316	0.635693	34202000.000000
2020-04-22	0.038155	0.027595	0.059695	0.024357	2.304150	46296000.000000
2020-04-21	-0.038845	-0.011049	-0.005248	-0.041059	-2.440651	49648000.000000
2020-04-20	-0.013956	-0.003524	0.001914	-0.014078	-0.889278	35292000.000000
2020-04-17	0.017154	0.022996	0.029621	0.010465	1.074604	51050000.000000
2020-04-16	0.000103	0.011480	0.016445	-0.011621	0.006474	57896000.000000
2020-04-15	-0.006268	-0.011224	0.011462	-0.021148	-0.395069	42236000.000000
2020-04-14	0.045290	0.028135	0.057802	0.018658	2.731102	63358000.000000
2020-04-13	0.003183	-0.000592	0.010238	-0.016538	0.191311	38702000.000000
2020-04-09	-0.000356	0.012921	0.016089	-0.008498	-0.021423	54028000.000000
2020-04-08	0.020667	0.021057	0.031072	0.004805	1.217587	40334000.000000
2020-04-07	-0.000533	0.032312	0.035510	-0.001414	-0.031391	61620000.000000
2020-04-06	0.082813	0.040640	0.093682	0.033292	4.508163	63320000.000000
2020-04-03	-0.021781	0.001541	0.005206	-0.034066	-1.212109	51374000.000000
2020-04-02	0.013547	0.001713	0.022448	-0.004543	0.743805	56410000.000000
2020-04-01	-0.051508	-0.029154	-0.024472	-0.055507	-2.981693	51970000.000000
2020-03-31	0.013644	0.005744	0.027343	-0.004771	0.779179	65228000.000000
2020-03-30	0.032470	0.023856	0.040452	-0.007014	1.795986	58736000.000000
2020-03-27	-0.045283	-0.026969	-0.006619	-0.047224	-2.623489	62794000.000000
2020-03-26	0.055645	0.015560	0.067271	-0.005112	3.053928	76562000.000000
2020-03-25	-0.025124	-0.001198	0.017978	-0.038118	-1.414375	90324000.000000
2020-03-24	0.071984	0.051087	0.079030	0.034378	3.780300	72468000.000000
2020-03-23	-0.013181	-0.007499	0.002404	-0.052127	-0.701458	83672000.000000
2020-03-20	-0.039094	0.020986	0.027829	-0.041127	-2.165154	82878000.000000
2020-03-19	0.018769	0.000893	0.060116	-0.029155	1.020306	74064000.000000
2020-03-18	-0.024033	-0.048546	-0.008107	-0.069138	-1.338650	93044000.000000
2020-03-17	0.041994	0.020125	0.053198	-0.018730	2.244862	83194000.000000
2020-03-16	-0.116342	-0.099410	-0.053240	-0.118031	-7.037987	96520000.000000
2020-03-13	0.092412	0.060905	0.096489	0.004293	5.117451	79400000.000000
2020-03-12	-0.082046	-0.069544	-0.014733	-0.081271	-4.949554	94326000.000000
2020-03-11	-0.050401	-0.017547	-0.010731	-0.062511	-3.201893	54732000.000000
